CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,Bah! Boring game.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",Strong like that game. Strong win.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.",Huh? Strong confused.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.",Talk? Just smash silly human.,DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: Oh, screw this. Say ""hi"" to Earl for me.",Strong smash!,,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.",Or else Strong smash puny human.,"DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: So you were performing surgery, and Earl didn't make it, is that it?",Weak humans die.,DocCrocker: I might have had just a bit of Jet before operating. So I nipped a few arteries I shouldn't have? Who hasn't?,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,Dead. Good.,Companion: Crocker got exactly what was comin' to him.,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,Good fight. Maybe take some for later. Strong not hungry now.,,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,Player Default: Don't worry. I won't.,Strong like green.,"Abbot: Thinking you need a little education. Maybe a bit of community service, what do you say?",,FFDiamondCity01QuestScene
Scene,SceneDialogue,Custom,,Abbot: Here's your payment. Now get going. I got work to do.,Strong like green better.,,,FFDiamondCity01WallNotGreenScene
Scene,SceneDialogue,Custom,,Abbot: Here's your payment and a little bonus for getting the right shade of green. Don't do anything with it I wouldn't do.,Yes. Green is best.,,approve of the player picking green paint,FFDiamondCity01WallGreenScene
Scene,SceneDialogue,Custom,,,Dog is good hunter. Let dog hunt alone. Human has Strong now. Go kill Kellogg human.,,,MQ106_CompanionDogmeatScene
Scene,SceneDialogue,Custom,,Player Default: Then let's go find your home.,Small human should be with his kind. This is good.,Billy: Thanks. I live in Quincy. Or at least I used to. But I don't know how to get there.,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,Player Default: You'll have to figure out your own life.,Humans should help humans. Not good. Strong not like.,Billy: I guess I'll just sit here until some monster comes and eats me.,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,"Player Default: I hate to tell you this, but your parents are probably dead.",Life hard. Death comes to all. Best that little human learn now.,Billy: Dead? You really think so?,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,Jack: You fool! Why didn't you do as I asked?,Strong not fool. Strong is strong!,,,MS09ParsonsBossRoomLorenzoEscapes
Scene,SceneDialogue,Custom,,Player Default: That's really interesting.,It's boring! Human too much talking.,Jack: I'm glad to hear you say that. It's become my life's work.,,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,"Player Default: You can believe whatever wacko theories you want, as long as I get paid.",Why humans like caps to much?,"Jack: Well if that's how you feel, I'll leave you to Edward. He'll be your immediate supervisor.",,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,Player Default: I'm really just here about the job.,Want job for fighting.,Jack: I'm sorry if I'm rattling on. I sometimes forget not everyone finds these things as compelling as I do.,,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,Player Default: You think aliens created human civilization?,Strong not care. Smash aliens.,"Jack: Yes, if by ""alien"" you mean a non-human precursor to the commonly understood founding cultures -- Sumer, Egypt, Assyria.",,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,"Player Default: I have a vial of that serum with me. Here, looks like you need it.",Human share. Good. Humans help humans.,"Emogene: How did you get that? Never mind, I'd rather not know. Thank you so very much.",,MS09Mission2EmogeneAgeKnow
Scene,SceneDialogue,Custom,,Player Default: Thanks for your help.,Now we fight. Kill humans.,ParsonsGuardCaptain: Sure thing.,,MS09ParsonsCaptainScene1
Scene,SceneDialogue,Custom,,Player Default: So you've just been waiting for me to show up to do something about those assholes?,Now we do something. We kill them.,"ParsonsGuardCaptain: As far as I remember, I don't answer to you. And yeah, we were waiting for you.",,MS09ParsonsCaptainScene1
Scene,SceneDialogue,Custom,,Player Default: That's all I needed to know.,Time to fight. Time to kill.,"ParsonsGuardCaptain: Well then, I guess we're done.",,MS09ParsonsCaptainScene1
Scene,SceneDialogue,Custom,,"Player Default: Sorry, I shouldn't have said that.",Bah! Strong never says sorry.,ParsonsGuardCaptain: Was that an apology? Now I've seen everything.,,MS09ParsonsCaptainScene1A
Scene,SceneDialogue,Custom,,Player Default: Lucky for you I'm not afraid of a few raiders.,Bah! Puny human raiders.,"ParsonsGuardCaptain: Well, then, why don't you get out of my face and go kill them?",,MS09ParsonsCaptainScene1A
