CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Yeah, I'll take those caps now.",Jolly good! Here you are - two caps apiece.,,,DialogueGraygardenWorkReward
Scene,SceneDialogue,Custom,,Player Default: I'm going to hold on to these Mutfruits.,"Then our business here is concluded, I should think. Cheerio!",,,DialogueGraygardenWorkReward
Scene,SceneDialogue,Custom,,"Player Default: Some other time, maybe.","At your leisure, then. I shall be hereabout when you're ready.",,,DialogueGraygardenWorkReward
Scene,SceneDialogue,Custom,,"Player Default: What are you offering, exactly?",It's two caps apiece.,"Player Default: Yeah, I'll take those caps now.",,DialogueGraygardenWorkReward
Detection,Detection,NormalToCombat,,,For Queen and Country!,,"(See notes for Supervisor Brown) Shouting, starting a fight.",
Detection,Detection,NormalToCombat,,,You'll pay for that!,,"(See notes for Supervisor Brown) Shouting, starting a fight.",
Miscellaneous,Miscellaneous,Greeting,,,Ready to hand over those mutfruits?,"Player Default: Yeah, I'll take those caps now.",,DialogueGraygardenWorkReward
Miscellaneous,Miscellaneous,SharedInfo,,,"If you could fetch me some mutfruits, I could extract the seeds, hand them off to the planters, and Bob's your uncle!",,,
Miscellaneous,Miscellaneous,SharedInfo,,,"And of course, there will be caps to line your pocket. We see to our friends here!",,,
Miscellaneous,Miscellaneous,SharedInfo,,,"Ah. Well then, perhaps another time.",,,
Miscellaneous,Miscellaneous,SharedInfo,,,"In that case, we must bear the burden and soldier on.",,,
Miscellaneous,Miscellaneous,Hello,,,"Bring me some mutfruits for seeding, and there'll be caps for your pocket. Off you go, then!",,Marching orders,
Miscellaneous,Miscellaneous,Hello,,,"Caps for mutfruits, that's the way!",,Marching orders,
Miscellaneous,Miscellaneous,Hello,,,"You helped us in our most desperate hour, and for that, I salute you, madam.",,Sincere gratitude,
Miscellaneous,Miscellaneous,Hello,,,"You helped us in our most desperate hour, and for that, I salute you, sir.",,Sincere gratitude,
Miscellaneous,Miscellaneous,Hello,,,Jolly good to see you!,,,
Miscellaneous,Miscellaneous,Hello,,,"Lovely weather, wot?",,,
Miscellaneous,Miscellaneous,Hello,,,By jove!,,,
Miscellaneous,Miscellaneous,Hello,,,We could do with a spot of rain.,,,
Miscellaneous,Miscellaneous,Hello,,,Well begun is half done!,,,
Scene,SceneDialogue,Custom,,,"I say, Greene old chap, are you free?",Greene: Now it's time for short break and a word from our sponsors.,,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,Greene: Now it's time for short break and a word from our sponsors.,I shall take that as a yes.,Brown: We're very nearly out of mutfruit seeds.,,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,Greene: Now it's time for short break and a word from our sponsors.,"Uh... yes, well...",Brown: We're very nearly out of mutfruit seeds.,,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,Greene: Now it's time for short break and a word from our sponsors.,Right...,Brown: We're very nearly out of mutfruit seeds.,,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,Brown: I shall take that as a yes.,We're very nearly out of mutfruit seeds.,,,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,,"Best if we set more of the fruit aside for extraction, wouldn't you say?","Greene: That's a big ""can do"", Brown! Don't you worry about a thing.",,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,Brown: I shall take that as a yes.,That last trader made mention of those scalawags at the salvage yard causing trouble for everyone nearby.,,,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,,"Look sharp now, for they might make their way here.","Greene: That's a big ""can do"", Brown! Don't you worry about a thing.",,DialogueGraygardenBrownGreeneScene
Scene,SceneDialogue,Custom,,Brown: I shall take that as a yes.,White thinks she might have spied one of those abominable Yao-guai sniffing around the river's edge not far from here.,,,DialogueGraygardenBrownGreeneScene
