CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: That's pretty ingenious. I bet you can work around the clock.,"Of course, darling. Our unique hierarchy allows for constant operation.","SupervisorWhite: You see, there are two kinds of robots here.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: Robots can do simple tasks, sure, but you need a human being to make the big decisions.","Ah, but that's where Graygarden is unique, darling.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"We're not just simple robots. We have a unique social structure - a hierachy, if you will.","SupervisorWhite: You see, there are two kinds of robots here.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: This place seems familiar. I think I saw a bit about it on the news, back before the war.","Yes, construction was completed mere days before the war.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,We were able to survive and continue our operations only because our creator made us fully self-sufficient.,"SupervisorWhite: You see, there are two kinds of robots here.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,Player Default: There's not even one person here?,"That's right, darling. We are entirely self-sufficient, with no need for human guidance.","SupervisorWhite: You see, there are two kinds of robots here.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"SupervisorWhite: Of course, darling. Our unique hierarchy allows for constant operation.","You see, there are two kinds of robots here.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,The worker drones carry out labor and maintenance.,,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"We supervisors - that is, myself, Greene and Brown - possess sophisticated cognition processors.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"We are capable of complex analysis and decision-making, a testament to the genius of our creator, Doctor Edward Gray.","Player Default: Obviously, the man was brilliant to come up with something like this.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: Obviously, the man was brilliant to come up with something like this.","I could hardly have said it better myself, darling.","SupervisorWhite: Robotics and artificial intelligence were our creator's great passions, rivaled only by his love of television.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,Player Default: Only a madman would think that artificial intelligence could replace human intuition and experience.,"You misunderstand him, darling. He wanted only to know what a machine was truly capable of.","SupervisorWhite: Robotics and artificial intelligence were our creator's great passions, rivaled only by his love of television.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: I remember him. He was one of RobCo's senior engineers, but more than a little eccentric.",That's the second time you've said that you remember something before the war.,,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,I think you're a little confused darling. You simply can't have been alive back then.,"SupervisorWhite: Robotics and artificial intelligence were our creator's great passions, rivaled only by his love of television.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: I remember him. He was one of RobCo's senior engineers, but more than a little eccentric.","You seem a bit confused, darling.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,You're far too young to remember anything that happened before the war.,Player Default: I was in a vault. They put me in cryogenic freeze.,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,Player Default: What became of Doctor Gray?,"Like so many others, he died in the war. It was a terrible loss.","SupervisorWhite: Robotics and artificial intelligence were our creator's great passions, rivaled only by his love of television.",Sad,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: I could hardly have said it better myself, darling.","Robotics and artificial intelligence were our creator's great passions, rivaled only by his love of television.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"Perhaps you've noticed that I possess a rather singular personality, as do the other supervisors.",Companion: That's puttin' it mildly.,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"Player Default: Well, it's definitely unique. Sort of hard to miss.","I'll take that as a compliment, darling.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"After all, the last thing any woman wants to be is ordinary.",SupervisorWhite: A few other things you should know... talk to Greene if you need supplies.,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,Player Default: A tin can that talks like a femme fatale is still a tin can.,Some men know how to talk to a woman. The rest are more like you.,SupervisorWhite: A few other things you should know... talk to Greene if you need supplies.,Disdain,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,Player Default: Why did Doctor Gray give you these unusual personalities?,"Genius is restless, darling. It abhors stagnation. Doctor Gray was tired of the standard Mister Handy personality.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"He looked to his favorite television characters for inspiration, and we are the result.",SupervisorWhite: A few other things you should know... talk to Greene if you need supplies.,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,Player Default: I was in a vault. They put me in cryogenic freeze.,"Remarkable! I must say, darling, you seem very well-preserved.","SupervisorWhite: Now, where was I...",,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,Player Default: Just forget I said it.,"Of course, darling. I can see it's a sensitive subject for you.","SupervisorWhite: Now, where was I...",,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,Player Default: It's a long story.,"Of course, darling. A lady knows when not to pry.","SupervisorWhite: Now, where was I...",,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,Player Default: You haven't met anyone else who was around back then?,"I'm sorry to disappoint you, darling, but no.",,,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,,"In my experience, you are unique.","SupervisorWhite: Now, where was I...",,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,"Player Default: Remarkable! I must say, darling, you seem very well-preserved.","Now, where was I...",,,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,,"Ah yes, Edward Gray.","SupervisorWhite: Robotics and artificial intelligence were our creator's great passions, rivaled only by his love of television.",,DialogueGraygardenBranchRememberPast
Scene,SceneDialogue,Custom,,"Player Default: After all, the last thing any woman wants to be is ordinary.",A few other things you should know... talk to Greene if you need supplies.,,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,,"If it's caps you need, Brown might have a few odd jobs.","SupervisorWhite: Farewell for now, dahling.",,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"SupervisorWhite: Farewell for now, dahling.","Ah, there's one other thing. A question, really.",,,DialogueGraygardenIntro
Scene,SceneDialogue,Custom,,"SupervisorWhite: If it's caps you need, Brown might have a few odd jobs.","Farewell for now, dahling.","SupervisorWhite: Ah, there's one other thing. A question, really.",,DialogueGraygardenIntro
Detection,Detection,NormalToCombat,,,"You've gone too far, dahling!",,"(See notes for Supervisor White) Shouting, starting a fight.",
Detection,Detection,NormalToCombat,,,I can't allow that!,,"(See notes for Supervisor White) Shouting, starting a fight.",
Detection,Detection,NormalToCombat,,,How dare you!,,"(See notes for Supervisor White) Shouting, starting a fight.",
Scene,SceneDialogue,Custom,,"Brown: Well, it just seems to be a tad slow of late, as if it's not running on a full charge.",It's probably just a defect in the power unit. I'll have a look at it later.,Brown: Jolly good. Just let me know if we need a new power unit and I'll see if can't make a trade for one.,,DialogueGraygardenBrownWhiteScene
Scene,SceneDialogue,Custom,,,"The mutfruit's looking ripe, darling. You should gather some up for Brown to sell.","Greene: Whoa, there! Just hold your horses, little lady.",,DialogueGraygardenWhiteGreeneScene
Scene,SceneDialogue,Custom,,"Greene: It's going to be a few more weeks before this fruit produces that sweet, delicious taste your kids will love.","Well I simply can't agree, darling. Call it a woman's intuition if you like, but this crop is ready now.","Greene: Oh, I'm so sorry but that is the wrong answer.",,DialogueGraygardenWhiteGreeneScene
Scene,SceneDialogue,Custom,,"Greene: Better luck next time, but hey, thanks for playing!","Have it your way, but don't say I didn't warn you, darling.",,,DialogueGraygardenWhiteGreeneScene
Scene,SceneDialogue,Custom,,"Greene: Supervisor White, you're the next contestant!","What do you want, darling? And please make it quick, I haven't got all day.","Greene: Bad news, I'm afraid.",A demure femme fatale,DialogueGraygardenGreeneWhiteScene
Scene,SceneDialogue,Custom,,"Greene: Our latest mutfruit crop is coming in smaller than usual, and some of the fruit isn't ripening quickly enough.","Again? It's got to be the water. It's been getting more toxic by the day, and now it's affecting the plants.","Greene: Well, if something isn't done soon, it'll be game over for the entire crop.",Frustrated,DialogueGraygardenGreeneWhiteScene
