CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,Be careful. I'm tired of stitching folk up.,,,
Scene,SceneDialogue,Custom,,Mariner: See the Hull? That's thanks to the mainlander. A true friend of the Harbor.,You going to listen to Allen's hate-mongerin'? You even remember who did the Captain's Dance?,CassieDalton: Mainlander cleared my farm. Avenged my family! More than the rest of you ever did for me.,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,Mariner: See the Hull? That's thanks to the mainlander. A true friend of the Harbor.,You all remember Andre? He would've been dead for certain but for the mainlander.,CassieDalton: Mainlander cleared my farm. Avenged my family! More than the rest of you ever did for me.,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,Mariner: But I believe the mainlander may be connected with his death.,"Smalls and Tony, and the others from the dregs. They went to the Lumber Mill.",,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,,On the word of this man. And nobody's heard from them since.,AllenLee: Everyone's said their piece. It's clear what we have to do.,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,Mariner: But I believe the mainlander may be connected with his death.,"Smalls and Tony, and the others from the dregs. They went to the Lumber Mill.",,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,,On the word of this woman. And nobody's heard from them since.,AllenLee: Everyone's said their piece. It's clear what we have to do.,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,,Not something I hear every day.,TeddyWright: There are some tests I could run. Seems important to you. Hand it over.,An odd request / Surprised,DLC03MQ05_0400_TeddyExaminesSkull
Scene,SceneDialogue,Custom,,TeddyWright: Not something I hear every day.,There are some tests I could run. Seems important to you. Hand it over.,TeddyWright: All right.,Curious / Puzzled,DLC03MQ05_0400_TeddyExaminesSkull
Scene,SceneDialogue,Custom,,TeddyWright: There are some tests I could run. Seems important to you. Hand it over.,All right.,"TeddyWright: This? This can't be? It's impossible, right?",Puzzled,DLC03MQ05_0400_TeddyExaminesSkull
Scene,SceneDialogue,Custom,,TeddyWright: All right.,"This? This can't be? It's impossible, right?","TeddyWright: No, no. Avery's been dead for years now. Acadia's done rigged the game, haven't they?",Shocked! / Disbelief,DLC03MQ05_0400_TeddyExaminesSkull
Scene,SceneDialogue,Custom,,"TeddyWright: This? This can't be? It's impossible, right?","No, no. Avery's been dead for years now. Acadia's done rigged the game, haven't they?",TeddyWright: This proof you got there. What do you plan on doing with it?,Dawning realization / Disbelief,DLC03MQ05_0400_TeddyExaminesSkull
