CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: That's just what a commie spy would say. Smug bastards.,Just what are you up to? Who are you working for? I want answers!,Director: Wait. The Grand Reopening. Are you Grand Reopening Supervisor 18-Alpha? You're late.,[The Director] Drill sergeant. Exasperated. Rising anger to yelling. / Angry,DN049_Director_810_Forcegreet
Scene,SceneDialogue,Custom,,,All units: Stand by for the Grand Reopening.,Director: Processing firmware updates... done!,[The Director] Drill sergeant. Making an announcement over the PA system. / Stern,DN049_Director_850_GrandReopening
Scene,SceneDialogue,Custom,,Director: Designating new Facility Supervisor... done!,The General Atomics Galleria is now open for business.,"Director: As the Grand Reopening Supervisor, you will be conducting tonight's customer appreciation raffle. Here is the grand prize.",[The Director] Drill sergeant. Announcing a major event. / Stern,DN049_Director_850_GrandReopening
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,General Atomics Galleria remains closed by order of the Director.,Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,The Galleria is closed by order of the Director.,Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,"Be on the lookout for thieves, trespassers, and communists!",Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,All Employees: Report suspicious behavior to the Director immediately.,Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,Remember: YOU are the pride of General Atomics.,Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,Any deviation from standard operating procedures must be authorized by the Director.,Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
Scene,SceneDialogue,Custom,,Director_Transmitter: Remember: The use of force against customers is strictly prohibited.,The Director has sanctioned the use of lethal force against looters.,Director_Transmitter: Security!,[The Director] Drill sergeant. / Angry,DN049_Director_800_Radio
