CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Now why don't you take this part of the safe combination, and try out one of our other great activities?","And, hey, why not take a few more bottles of Nuka-Cola Wild on your way out? Courtesy of Nuka-Cola!",,,DLC04DryRockGulch_21_DocPhosphateReturn
Scene,SceneDialogue,Custom,,"Player Default: That mine was the nest for a Bloodworm Queen. Now that she's gone, this whole area should be a lot safer.","I can't understand a word of what you're sayin', but you've been the best deputy this side of the Mississippi!","SheriffForcedAlias: Here. Take some souvenir bottlecaps, courtesy of the Nuka-Cola Janitorial Service Department!",,DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,"Player Default: This has been a real pleasure, sheriff. But I think it's time you and your robot friends got sent to the scrap heap.",Processing: Emergency Defense Protocols activated! Intruder! Intruder!,"SheriffForcedAlias: Here. Take some souvenir bottlecaps, courtesy of the Nuka-Cola Janitorial Service Department!","player says he's going to kill you, you break character to issue an alert",DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,"Player Default: I thank you for your aid, sheriff. Your town is safe for now, but the Silver Shroud will be watching over you.",It's been an honor having the Silver Shroud as my own deputy!,"SheriffForcedAlias: Here. Take some souvenir bottlecaps, courtesy of the Nuka-Cola Janitorial Service Department!",,DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,"Player Default: I thank you for your aid, sheriff. Your town is safe for now, but the Silver Shroud will be watching over you.","Well, all right. Please put in a good word with Nuka-Cola corporate when your survey card arrives in the mail.","SheriffForcedAlias: Here. Take some souvenir bottlecaps, courtesy of the Nuka-Cola Janitorial Service Department!",,DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,"Player Default: Look, sheriff, I just cleared out that mine full of dangerous pests. Can you drop the act for one second?",I don't know what you're talking about. I'm just an old-fashioned cowboy trying to show folks a good time here at Nuka-World!,"Player Default: That mine was the nest for a Bloodworm Queen. Now that she's gone, this whole area should be a lot safer.",,DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,"Player Default: I can't understand a word of what you're sayin', but you've been the best deputy this side of the Mississippi!","Here. Take some souvenir bottlecaps, courtesy of the Nuka-Cola Janitorial Service Department!",,,DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,,You and your friends are welcome in Dry Rock Gulch any time!,,,DLC04DryRockGulch_40_SheriffScene
Scene,SceneDialogue,Custom,,Player Default: All right. I'll corral some horses.,"Good luck out there. Remember, check the Nuka-Cola refreshment stands!",,,DLC04DryRockGulch_30_GiddyupGreet
Scene,SceneDialogue,Custom,,Player Default: I'm not ready for this yet.,"Well don't take too long, now.",,,DLC04DryRockGulch_30_GiddyupGreet
