CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Man the Hull. Something's out there.,Male07Runner: Who? What?,Speaking Loud (person is 30' away): Commanding,DLC03MQ02_Fight_PreFightScene
Scene,SceneDialogue,Custom,,Male07Runner: Who? What?,Don't know - too far into the Fog. We don't got long.,Male07Runner: You sure you saw something?,"Speaking Loud (person is 30' away): Distracted, intensely watching the horizon for hostiles",DLC03MQ02_Fight_PreFightScene
Scene,SceneDialogue,Custom,,Male07Runner: You sure you saw something?,This ain't a drill.,DLC03MQ02FightGulperActivator: *Roar*,Speaking Loud (person is 30' away): Grumbly,DLC03MQ02_Fight_PreFightScene
Scene,SceneDialogue,Custom,,AllenLee: What the hell?,"Eyes peeled, everyone.",,"Speaking Loud (person is 30' away): Pick up in volume, intensity",DLC03MQ02_Fight_PreFightScene
Scene,SceneDialogue,Custom,,Male07Runner: They got Howard! Howard!,"Run, idiot!","Mariner: If anything shows up, give him covering fire!",LOUD YELL - URGENT,xxx_DLC03MQ02_OLD
Scene,SceneDialogue,Custom,,"Mariner: Run, idiot!","If anything shows up, give him covering fire!",Male07Runner: I got it.,"Speaking Loud (person is 30' away): Urgent, Commanding",xxx_DLC03MQ02_OLD
Scene,SceneDialogue,Custom,,Male07Runner: I... I don't know. Fog's too thick. Howard...,Quiet all!,Male07Runner: Man the Hull. Something's out there.,"Speaking Loud (person is 30' away): Irritation, commanding",xxx_DLC03MQ02_OLD
Scene,SceneDialogue,Custom,,Male07Runner: Man the Hull. Something's out there.,They're here!,Male07Runner: Don't know - too far into the Fog. We don't got long.,Speaking Loud (person is 30' away): Last words before fighting for their lives,xxx_DLC03MQ02_OLD
Scene,SceneDialogue,Custom,,AllenLee: Dammit. Mariner's incoming.,Something's coming through the Fog!,"CaptainAvery: You. Help us defend the town, and I'll answer any questions you have.",Yelled at the top of the lungs - TO ARMS! REDCOATS ARE COMING! / Angry,DLC03MQ02_0200_AveryGreeting
Miscellaneous,Miscellaneous,Greeting,,,Keep a wary eye.,,,
Scene,SceneDialogue,Custom,,SandraLee: Don't listen to the mainlander. My brother's always protected you. Looked out for you.,See the Hull? That's thanks to the mainlander. A true friend of the Harbor.,TeddyWright: You going to listen to Allen's hate-mongerin'? You even remember who did the Captain's Dance?,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,UncleKen: What? The mainlander threatened me. Chased me from my home. Allen's a good boy. Listen to him.,Everyone hear about Machete Mike? He was found dead. I don't have proof...,,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,,But I believe the mainlander may be connected with his death.,"TeddyWright: Smalls and Tony, and the others from the dregs. They went to the Lumber Mill.",,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,UncleKen: What? The mainlander threatened me. Chased me from my home. Allen's a good boy. Listen to him.,"The mainlander wronged me, reneged on a deal.",,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,,"Allen may be a handful, but he's always helped us when we needed it most.","TeddyWright: Smalls and Tony, and the others from the dregs. They went to the Lumber Mill.",,DLC03MQ05_0500c_SpareAvery
Miscellaneous,Miscellaneous,Greeting,,,You joining us? Acadia's got to pay.,,,
Miscellaneous,Miscellaneous,Greeting,,,Murderers gotta pay.,,,
Scene,SceneDialogue,Custom,,,"The Hull needs mending. You know, it just don't build itself. I need proper wood, steel, nails. The like.","AllenLee: Nobody asked you to cobble together that stupid wall. You want yourself commodities, you know how to get 'em. Caps.","Litany of needs, steely purpose / Irritated",DLC03IntroSceneMarinerAndAllen_01
Scene,SceneDialogue,Custom,,"AllenLee: Nobody asked you to cobble together that stupid wall. You want yourself commodities, you know how to get 'em. Caps.","That ""stupid wall"" is the only thing that kept you stowaways alive. That and the mainlander.",AllenLee: The mainlander? Ha. What kept us safe was Harbormen and the firepower I sold them.,Can't believe Allen is that stupid / Angry,DLC03IntroSceneMarinerAndAllen_01
Scene,SceneDialogue,Custom,,AllenLee: Want supplies? Tell you what... Apply that big ol' brain of yours to dealing with the real threat: those Children of Atom whack-jobs.,"Haven't you fouled up things enough, Allen? And now you mean to make it worse.","AllenLee: They're still alive aren't they, figure I got a whole lot more work to do.",Disgusted / Defiant,DLC03IntroSceneMarinerAndAllen_01
Scene,SceneDialogue,Custom,,"AllenLee: They're still alive aren't they, figure I got a whole lot more work to do.",No deal. But this isn't the last of it.,AllenLee: Sure the hell looks like it to me.,Disgusted / Irritated,DLC03IntroSceneMarinerAndAllen_01
Combat,Combat,Death,,,At last...,,,
Combat,Combat,Hit,,,Uhh...,,,
Combat,Combat,Taunt,,,I ain't goin' down alone.,,,
Combat,Combat,Taunt,,,Filthy mainlander.,,,
Combat,Combat,Taunt,,,Ha! Haha.,,,
Combat,Combat,Steal,,,"No thieves on my dock, dammit.",,,
Detection,Detection,NormalToCombat,,,Leave my docks alone!,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You one of those narcoleptics?,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Sure, I have all the time in the world.",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"You ain't big on conversation, are you?",,,
Miscellaneous,Miscellaneous,Hello,,,"I saw some flashes on the mountain. It weren't lightning, neither.",,,
Miscellaneous,Miscellaneous,Hello,,,"With that nuclear fallout, the Fog's going to get fierce. Mark my words.",,,
Miscellaneous,Miscellaneous,Hello,,,I don't have much love for the Children of Atom. But no one deserves what they got.,,,
Miscellaneous,Miscellaneous,Hello,,,This peace with the Children of Atom... Seems a little too good to be true.,,,
Miscellaneous,Miscellaneous,Hello,,,DiMA? Maybe Allen's right about mainlanders.,,,
Miscellaneous,Miscellaneous,Hello,,,What we did with Avery... *sigh*,,,
Miscellaneous,Miscellaneous,Hello,,,Avery worked tirelessly to help all us islanders...,,,
