CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: All right, all right. Let me know when you are.",Prepping that vertibird for take off is going to take me a few minutes.,,Finding some resolve / Worried,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,,So first we got to clear the Police Station of hostiles.,TinkerTom: I can't believe I'm doing this.,Make this clear - this is the player's next goal / Worried,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,TinkerTom: So first we got to clear the Police Station of hostiles.,I can't believe I'm doing this.,,"To himself, nervous / Nervous",RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,TinkerTom: So first we got to clear the Police Station of hostiles.,For Glory.,,"Grim, unsteady / Sad",RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,NPCMTinkerTom: We got ourselves some wheels. Or wings. Or whatever this is.,Here's the deal: after flight prep we take the vertibird up to the Prydwen and dock.,TinkerTom: From the inside the blimp's vulnerable. To keep that baby afloat its got massive gasbags full of hydrogen.,"Sharing the plan, nervous",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,TinkerTom: Here's the deal: after flight prep we take the vertibird up to the Prydwen and dock.,From the inside the blimp's vulnerable. To keep that baby afloat its got massive gasbags full of hydrogen.,Player Default: Tell me about my role in this.,"Gets excited when talking tech, loses nervousness",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,Player Default: Tell me about my role in this.,Your job is tricky. You got to find a way to place these explosives on the gasbags.,TinkerTom: Then get the hell back to our vertibird. Make it to a comfortable distance. Then it's bye-bye Prydwen.,"Apologetic, this is going to be very dangerous / Worried",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,"Player Default: If this is a suicide run, count me out.","No, man, these explosives are remote controlled. I won't set them off until we get to a safe distance.",TinkerTom: The dangerous part is placing them on the gasbags in the first place. And getting out. That's all you.,"Reassuring, he's got the PC's back. A hint of a ""But"" in all of this. / Confident",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,Player Default: And they'll just let us land.,There's no way they'd expect anybody to hijack one of their birds.,,Knows this isn't a sure thing,RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,,And Deacon says he can talk his way past air traffic control.,"TinkerTom: But, I ain't going to lie, your part is tricky. You got to find a way to place these explosives on the gasbags.",Not entirely convinced,RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,"Player Default: Really, it's full of hydrogen?","Helium's rare as hell, only gas light enough and plentiful enough is good old number one on the periodic table. Hydrogen.",Player Default: Tell me about my role in this.,"Confident, science stuff is his happy place",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,TinkerTom: Then get the hell back to our vertibird. Make it to a comfortable distance. Then it's bye-bye Prydwen.,Flight prep is going to take time. And the Brotherhood's not just going to give it to us.,,"Already focusing on his role, last bit to himself",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,,So if Paladins show up keep them off me and the bird.,,,RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,Player Default: Your job is tricky. You got to find a way to place these explosives on the gasbags.,Then get the hell back to our vertibird. Make it to a comfortable distance. Then it's bye-bye Prydwen.,TinkerTom: Flight prep is going to take time. And the Brotherhood's not just going to give it to us.,"Thinks it'll take a miracle, but loves the promise of the plan / Worried",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,"Player Default: No, man, these explosives are remote controlled. I won't set them off until we get to a safe distance.",The dangerous part is placing them on the gasbags in the first place. And getting out. That's all you.,TinkerTom: Flight prep is going to take time. And the Brotherhood's not just going to give it to us.,"Here's the ""Gotcha"" - this part is almost suicide / Worried",RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,Player Default: And Deacon says he can talk his way past air traffic control.,"But, I ain't going to lie, your part is tricky. You got to find a way to place these explosives on the gasbags.",,,RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,,Then get back out.,TinkerTom: Flight prep is going to take time. And the Brotherhood's not just going to give it to us.,,RR302_0800_VertibirdSecure
Scene,SceneDialogue,Custom,,,So... the manual said... Right.,TinkerTom: Where's the master switch?,,RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,TinkerTom: So... the manual said... Right.,Where's the master switch?,TinkerTom: Oil pressure. Check.,,RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,TinkerTom: Where's the master switch?,Oil pressure. Check.,"TinkerTom: Aww, shit. I'm going as fast I can in here.",,RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,TinkerTom: Oil pressure. Check.,"Aww, shit. I'm going as fast I can in here.",TinkerTom: What's this panel even do?,"Bad guys show up, urgency becomes high from here on",RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,"TinkerTom: Aww, shit. I'm going as fast I can in here.",What's this panel even do?,TinkerTom: Throttle. Full open.,,RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,TinkerTom: What's this panel even do?,Throttle. Full open.,TinkerTom: The vertibird's good to go. Ready for take off.,,RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,TinkerTom: Throttle. Full open.,The vertibird's good to go. Ready for take off.,"Deacon: Hey, boss, I need a word.","Said loudly, to carry across some distance, some triumph",RR302_0800a_TinkerPreFlight
Scene,SceneDialogue,Custom,,Player Default: I'm not quite ready yet.,"All right, all right. Let me know when you are.",TinkerTom: Prepping that vertibird for take off is going to take me a few minutes.,Nervous,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,Player Default: Any other intel on the police station?,Expect turrets and reinforcements inside. That's all I got - this mission was thrown together fast.,TinkerTom: Prepping that vertibird for take off is going to take me a few minutes.,Apologetic,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,NPCMTinkerTom: Man. How do you live up here?,"There's a million ways we could be monitored right now. By the Brotherhood, or... you know.","Player Default: Relax, Tom, you'll be all right.","Being paranoid, ""you know"" is referring to the Institute / Nervous",RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,"Player Default: Relax, Tom, you'll be all right.","Right, the whole breathing in and out. OK.",TinkerTom: The police station is crawling with Brotherhood guys. At least one in Power Armor.,"Shaking off the nerves, takes a deep breath",RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,Player Default: Another of your paranoid fantasies.,"C'mon, man, maintain positive energy.",TinkerTom: The police station is crawling with Brotherhood guys. At least one in Power Armor.,A little defensive / Apologetic,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,Player Default: Monitored? What do you mean?,"The Institute's had hundreds of years to put advanced sensors, cameras, and other technology everywhere, man.",,Spouting off conspiracy / Conspiratorial,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,,"That rock could be miced up. Hello, you bastards. Anyway.",TinkerTom: The police station is crawling with Brotherhood guys. At least one in Power Armor.,"""Hello, you bastards"" pretending to talk to the Institute / Conspiratorial",RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,"TinkerTom: Right, the whole breathing in and out. OK.",The police station is crawling with Brotherhood guys. At least one in Power Armor.,,Worried / Worried,RR302_0700_AtPoliceStation
Scene,SceneDialogue,Custom,,,"But, as promised, they got a vertibird on the roof. You really up for this?",Player Default: Let's go.,Can't believe the player is tough enough to do this / Worried,RR302_0700_AtPoliceStation
Miscellaneous,Miscellaneous,Greeting,,,We got ourselves some wheels. Or wings. Or whatever this is.,TinkerTom: Here's the deal: after flight prep we take the vertibird up to the Prydwen and dock.,So excited loses the nervousness for a second / Happy,RR302_0800_VertibirdSecure
Miscellaneous,Miscellaneous,Greeting,,,You ready to grab the vertibird? The police station is going to be a tough nut to crack.,Player Default: Let's go.,"Nervous, failing to hide it",RR302_0700_AtPoliceStation
Miscellaneous,Miscellaneous,Greeting,,,Man. How do you live up here?,"TinkerTom: There's a million ways we could be monitored right now. By the Brotherhood, or... you know.","Deeply uneasy, feels naked / Nervous",RR302_0700_AtPoliceStation
Miscellaneous,Miscellaneous,Hello,,,Company's a coming.,,Alarmed,
Miscellaneous,Miscellaneous,Hello,,,Objective's on the roof.,,"Distracted, nervous",
Scene,SceneDialogue,Custom,,,Over here! I don't know how much longer before we blow our cover.,,"Yelled over a considerable distance, urgent",RR303_Ambient_NearlyEscaped
Scene,SceneDialogue,Custom,,,We're taking fire! Come on!,,"Yelled over a considerable distance, urgent, close to panic",RR303_Ambient_NearlyEscaped
Scene,SceneDialogue,Custom,,"Deacon: Tinker, get us out of the airport. Now.",What a great idea. Why didn't I think of that?,TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,"Deacon: Tinker, get us out of the airport. Now.","Yeah, yeah, I got it.",TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,Deacon: Remember: Keep that Brotherhood uniform on. Otherwise it's going to be the shortest infiltration in history.,Don't take too long in there.,TinkerTom: If anyone comes over here... I don't know if I can fool them.,,RR303_Ambient_LandedOnPrydwen
Scene,SceneDialogue,Custom,,TinkerTom: Don't take too long in there.,If anyone comes over here... I don't know if I can fool them.,"Deacon: You got enough problems, boss, I got this end covered.",,RR303_Ambient_LandedOnPrydwen
Scene,SceneDialogue,Custom,,"Deacon: You got enough problems, boss, I got this end covered.",Good luck!,,,RR303_Ambient_LandedOnPrydwen
Scene,SceneDialogue,Custom,,"Deacon: Move, move, move. We're in.",Right on.,TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,Deacon: What's taking you so long?,There's a whole lot of mechanism for this. I'm going as fast I can.,TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,"Deacon: Kick into gear, Tom.","I'm trying, I'm trying.",TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,TinkerTom: What a great idea. Why didn't I think of that?,"All right, all right. Just got to get... to a safe distance.",TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,"TinkerTom: All right, all right. Just got to get... to a safe distance.","More distance, please!",TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,"Deacon: We are still alive, right?",We're out of the blast range now.,TinkerTom: Here goes nothing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,TinkerTom: Here goes nothing.,Shit.,Deacon: Woah. Now that's a hell of a thing.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,TinkerTom: I need a drink.,Everyone get off. I got to find someplace to stash this beast.,Deacon: See you back at the HQ.,,RR303_1400a_DeaconEscape
Scene,SceneDialogue,Custom,,Deacon: We're spinning. Spinning!,"Oh man, hold it together.",TinkerTom: See? Just like falling off a log.,,RR303_0800a_TakingOff
Scene,SceneDialogue,Custom,,"Deacon: I got you this. If you're wearing the latest in the Brotherhood's fall fashion line, it might help you place those bombs and get back in one piece.",And the Brotherhood's just going to fall for that?,Deacon: The Brotherhood is nothing if not arrogant. They'd never dream in a million years that an ex-farmer and a scavver could fly one of their birds.,,RR303_0800c_OtherBriefing
Scene,SceneDialogue,Custom,,Deacon: Dez said you could fly this thing.,"Sure, sure. Read the manual cover to cover.",Deacon: The manual?!,,RR303_0800a_TakingOff
Scene,SceneDialogue,Custom,,,So... uh... wheels up?,TinkerTom: Uhh... So... this yoke...,,RR303_0800a_TakingOff
Scene,SceneDialogue,Custom,,TinkerTom: So... uh... wheels up?,Uhh... So... this yoke...,Deacon: Dez said you could fly this thing.,,RR303_0800a_TakingOff
Scene,SceneDialogue,Custom,,"Deacon: No, no, no. You're doing great, Tom, just keep her a little more steady.","Yeah, yeah, I got you.",,,RR303_0800d_EndChitChat
Scene,SceneDialogue,Custom,,"Deacon: Tom, we're getting closer to the blimp. Can you fly just a little straighter?","Deacon, man, I'm trying. If you want to give it a whirl, I won't stop you.","Deacon: No, no, no. You're doing great, Tom, just keep her a little more steady.",,RR303_0800d_EndChitChat
Scene,SceneDialogue,Custom,,"Desdemona: Assume defensive positions. Reinforce Glory in the tunnels. Move, move.",Damn! The booby trap in the escape tunnel is blown.,Desdemona: The Brotherhood's here!,"Reacting to a massive explosion, shouting to others",RR303_0210_ReactToAttack
Scene,SceneDialogue,Custom,,Desdemona: Tom?,The escape tunnel is history. No one's coming in or out that way.,Desdemona: Drummer?,"Rattled, but giving his report",RR303_Ambient_PostInitialAssault
