CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Ringmaster: I present to you...,Cait!,Ringmaster: And the New Blood!,dramatic flourish as spotlight turns on and points to combatant,CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,Ringmaster: Cait!,And the New Blood!,"Ringmaster: Listen, you two. Here's the deal. I want blood. But no one dies.",dramatic flourish as spotlight turns on and points to combatant,CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,,What's this? The New Blood bested our fair Cait!,Combatant2: Quit standin' there and finish it already. The hell are you waitin' for?,(to crowd) exaggerated shock to play to crowd,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,"Player Default: Everyone for themselves, eh? Fine.",Alright. Fight's over. You two and come out now.,,(on mic to crowd) looking at combatants. A little worried the player might kill your favored fighter that you look after like a daughter,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,,Through the gate in the cage.,"Combatant2: Alright. Let's go, hero. After you.",,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,"Combatant2: Alright. Let's go, hero. After you.",That's enough now. Fight's over. Come on out.,,(on mic to crowd) looking at combatants. A little worried the player might kill your favored fighter that you look after like a daughter,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,"Combatant2: Alright. Let's go, hero. After you.",Through the gate in the cage.,,(on mic to crowd) looking at combatants. A little worried the player might kill your favored fighter that you look after like a daughter,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,"Combatant2: Alright. Let's go, hero. After you.",You get your brain rattled? Fight's done. Come on out.,,(on mic to crowd) looking at combatants. A little worried the player might kill your favored fighter that you look after like a daughter,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,"Combatant2: Alright. Let's go, hero. After you.","Not true bright, our New Blood, eh?",,(on mic to crowd) looking at combatants. A little worried the player might kill your favored fighter that you look after like a daughter,CZ_Arena_Combat_Post_A
Scene,SceneDialogue,Custom,,,Ladies and gentlemen - and the rest of you ugly lot - for your amusement only...,,(to crowd) announcing a fight,CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,,I present to you...,Ringmaster: Cait!,,CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,Ringmaster: And the New Blood!,"Listen, you two. Here's the deal. I want blood. But no one dies.","Ringmaster: I just want to size up the new guy, alright?","Leveling with the fighters. (on stage, but off mic) turning around to address the combatants directly (one is daughter figure, the other is player)",CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,"Ringmaster: Listen, you two. Here's the deal. I want blood. But no one dies.","I just want to size up the new guy, alright?",Ringmaster: On the count of three.,"(subtext: go easy on him, don't kill him) Leveling with the fighters. (on stage, but off mic) turning around to address the combatants directly",CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,"Ringmaster: I just want to size up the new guy, alright?",On the count of three.,Ringmaster: You all know how this goes.,"Leveling with the fighters. (on stage, but off mic) turning around to address the combatants directly (one is daughter figure, the other is player)",CZ_Arena_Combat_StartFight_A
Scene,SceneDialogue,Custom,,Ringmaster: On the count of three.,You all know how this goes.,Ringmaster: One!,(to crowd with usual showmanship - counting down to fight start),CZ_Arena_Combat_StartFight_A
