CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Mitch: My uncle's safe and alive. The stranger's always steered us right.,What? The mainlander threatened me. Chased me from my home. Allen's a good boy. Listen to him.,Mariner: Everyone hear about Machete Mike? He was found dead. I don't have proof...,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,Mitch: My uncle's safe and alive. The stranger's always steered us right.,What? The mainlander took away my home. Drug me here. Listen to Allen!,Mariner: Everyone hear about Machete Mike? He was found dead. I don't have proof...,,DLC03MQ05_0500c_SpareAvery
Combat,Combat,Taunt,,,You're getting beaten by an old man. Ha!,,,
Detection,Detection,NormalToCombat,,,This is my home! Go away!,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Hello? You there? Hello?,,,
Miscellaneous,Miscellaneous,Hello,,,Oh thank you sooo much for putting me on this rickety dock.,,,
Miscellaneous,Miscellaneous,Hello,,,Tell them this is my farm. Stop fiddling with everything!,,,
Miscellaneous,Miscellaneous,Hello,,,Mitch sent men to help. They won't let me do anything any more. Bah!,,,
Miscellaneous,Miscellaneous,Hello,,,Old Longfellow. Bah! He is a small child next to me.,,,
Miscellaneous,Miscellaneous,Hello,,,Everyone moaning about the Fog. This Fog is nothing. Much worse when I was young.,,,
Miscellaneous,Miscellaneous,Hello,,,You took me away from my home. Bah!,,,
Miscellaneous,Miscellaneous,Hello,,,Mainlanders think the island's easy. We'll see. Haha.,,,
Miscellaneous,Miscellaneous,Hello,,,"Yes, yes. I am doing well. Goodbye, goodbye.",,,
Miscellaneous,Miscellaneous,Hello,,,Cassie Dalton says she's the oldest on the island? Bah! It's me. I will live forever.,,,
Miscellaneous,Miscellaneous,Hello,,,Haha! Those Children of Atom always saying the Fog would get me. Look who is still alive!,,,
Miscellaneous,Miscellaneous,Hello,,,"The Children of Atom can have their ""peace."" As long as its not on my land.",,,
Miscellaneous,Miscellaneous,Hello,,,"If you gonna die, DiMA did it right. Head tall. Face your crimes. Good.",,,
Miscellaneous,Miscellaneous,Hello,,,"In my day, Captains get killed all the time. And now everyone moans - poor Avery, so sad. Bah!",,,
Miscellaneous,Miscellaneous,Hello,,,"Oh, everyone in Far Harbor is sooo merciful. Spare the poor little machine. Weak!",,,
Miscellaneous,Miscellaneous,Hello,,,"In my day, everyone does the Captain Dance. Maybe two, three times a year. So don't get no ideas.",,,
Miscellaneous,Miscellaneous,Hello,,,"You chased off those people at Acadia? Hmph. Had no business on this island, I say.",,Mild approval,
Scene,SceneDialogue,Custom,,"Player Default: Yes, big hero.",Your thug threatened me. Said he'd drag me from my home!,"Mitch: Uncle, I'm sure it didn't go down that way.","Poor old me, this PC monster! / Angry",DLC03FarHarborS01_500a_KenReunion
