CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Good! Good...,,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,That's what I like to hear.,,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Music to my ears.,,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Don't order just one, now. Live it up!",,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Not to bias you, but everything's delicious.",,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Ah, come on.",,disappointed,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,*Sigh* Fine fine.,,disappointed,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,You sure? Ah well.,,disappointed,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,That's too bad.,,disappointed,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Come back later, then.",,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Some other time, then?",,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,You know where to find me.,,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Eh, your call.",,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Eh, all right.",,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: You staying out of trouble?,Damn straight it is. My brother Yefim and I make the best moonshine in the entire Commonwealth.,,,VadimGreetScene
Scene,SceneDialogue,Custom,,,We call it Bobrov's Best. Had to start renting out rooms just so customers had a place to safely pass out after drinking it! Ha ha ha ha!,Vadim: Damn straight it is. My brother Yefim and I make the best moonshine in the entire Commonwealth.,,VadimGreetScene
Scene,SceneDialogue,Custom,,"Player Default: So, this your bar?","Haha, you are checking up on me? I love it. Do not worry. I have cut ties with anyone who might try to kill me over debts.",,,VadimGreetScene
Scene,SceneDialogue,Custom,,,"All is well, friend. Relax.",Vadim: Damn straight it is. My brother Yefim and I make the best moonshine in the entire Commonwealth.,,VadimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Any news around town?,None that I care to talk about.,Vadim: Damn straight it is. My brother Yefim and I make the best moonshine in the entire Commonwealth.,"responding to: ""any news around town?""",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Anyway, you look like you need a drink.",Player Default: Let's see what you've got.,"generic ""coming from another conversation and getting back to business"" line",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Now, let me pour you a drink. Come on.",Player Default: Let's see what you've got.,"generic ""coming from another conversation and getting back to business"" line",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,I got a bar to run. Let me know if you want something.,Player Default: Let's see what you've got.,"generic ""coming from another conversation and getting back to business"" line",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Thank you for finding Earl's killer. Can't believe the doctor would do such a thing. Oh well. Least we have liquor to drown our sorrows.,Player Default: Let's see what you've got.,"player discovered Doc Crocker killed Earl Sterling, your friend",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"McDonough is gone. Turns out he was synth. Maybe I run for mayor one day? You know, I was once king of entire country. All women.",Player Default: Let's see what you've got.,Mayor McDonough revealed to be a synth and is dead or gone,VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"The detective is back. You should have a drink, gumshoe.",,"player discovered Doc Crocker killed Earl Sterling, your friend",
Miscellaneous,Miscellaneous,Greeting,,,"See this bar? I killed a man for it. Ha ha! No no... I kid... I kid... *cough*  He is dead, though... Now, let me know when you're ready to order.",Player Default: Let's see what you've got.,"loud, extroverted",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Ah, it is the savior of Diamond City Radio! Have a drink, friend!",Player Default: Let's see what you've got.,"loud, extroverted",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Come come, have a drink. I didn't buy bar to sell water.",Player Default: Let's see what you've got.,"loud, extroverted",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Ah, yes, you. Famous Bobrov liquor on tap all day.",Player Default: Let's see what you've got.,"loud, extroverted",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Good to see returning customers. Most die. You let me know if you need a drink.,Player Default: Let's see what you've got.,"loud, extroverted",VadimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Drinks! The finest liquor moonshiners can brew right here.,Player Default: Let's see what you've got.,"loud, extroverted",VadimGreetScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You shy? Fuck that!,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You didn't hear me? Do I need to talk louder?,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Come, come. Say something. Anything!",,,
Scene,SceneDialogue,Custom,,,"Poor Earl. Gone just like that. Such a good bartender. Good friend. Oh, but terrible with women, mind you. Bull in china shop with them.",,Sad,001_MS07aVadimScene
Scene,SceneDialogue,Custom,,,You with Valentine's Detective Agency? Forgot to drop off Earl's key when I hired you people. Here.,,Grateful,001_MS07aVadimScene
Scene,SceneDialogue,Custom,,,I hope you find out what happened. Security does nothing but yell at me for asking about it.,,Concerned,001_MS07aVadimScene
Scene,SceneDialogue,Custom,,,"Poor Earl. Gone just like that. Such a good bartender. Good friend. Oh, but terrible with women, mind you. Bull in china shop with them.",,Sad,001_MS07aVadimScene
Scene,SceneDialogue,Custom,,,You with Valentine's Detective Agency? I hope you find out what happened. Security does nothing but yell at me for asking about it.,,Concerned,001_MS07aVadimScene
Scene,SceneDialogue,Custom,,,"Okay, fine. You walk away. But if you want to help me help Travis, you come talk to me.",,annoyed but jovial / Amused,MS14BobrovOpeningScene
Scene,SceneDialogue,Custom,,,"You want to be a part helping Travis, you show up after 6. Otherwise we do it without you.",,Stern,MS14VadimStage10Scene
Scene,SceneDialogue,Custom,,,"You want to be a part of helping Travis, you show up tomorrow evening after 6. Otherwise we do it without you.",,Stern,MS14VadimStage10Scene
