CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Combat,Combat,Hit,,,Agh!,,"reacting to being struck by a weapon or bullet, short grunt of pain",
Combat,Combat,Flee,,,Get away!,,,
Combat,Combat,Flee,,,Leave me alone!,,,
Miscellaneous,Miscellaneous,Hello,,,"Hi, mister.",,,
Miscellaneous,Miscellaneous,Hello,,,"Hi, miss.",,,
Miscellaneous,Miscellaneous,Hello,,,Huh?,,,
Miscellaneous,Miscellaneous,Hello,,,Hello.,,,
Miscellaneous,Miscellaneous,Hello,,,Dad's been really nice lately. He didn't used to.,,"Hushed tone, a secret",
Miscellaneous,Miscellaneous,Hello,,,All Janey ever talks about is clothes and boys. Boring!,,,
Miscellaneous,Miscellaneous,Hello,,,Everyone used to be sick and hungry. I was scared we were all gonna die.,,"Worried, a difficult memory",
Miscellaneous,Miscellaneous,Hello,,,It's nice to have a lot of food. We used to only eat once a day.,,"Weary, bad memory",
Scene,SceneDialogue,Custom,,"Player Default: All right, Burton. I'm here. Hurry up, out with it, I have a lot of plans for this summer and none of them involve chatting with you.","Why, Ronald, I'm hurt. Skipping the pleasantries and getting right down to business. And after all we've accomplished together this semester...","Player Default: For the last time, you little snot, it's Principal Tanner.",,DN020_ChelseaHolotape
Scene,SceneDialogue,Custom,,"Player Default: For the last time, you little snot, it's Principal Tanner.",Fine. Principal Tanner. I'll make this quick...,,,DN020_ChelseaHolotape
Scene,SceneDialogue,Custom,,,"You've been giving me mentats to distribute to the students quietly and under the nose of the faculty. I have. Because of this, test scores have skyrocketed.",,,DN020_ChelseaHolotape
Scene,SceneDialogue,Custom,,,"The school board has noticed. We've received quite an increase in funding. But the faculty doesn't know. No one here knows except you. And now, me.",,,DN020_ChelseaHolotape
Scene,SceneDialogue,Custom,,,"You've been skimming off the top and pocketing most of the funds. I want fifty percent of what you're embezzling, or I go to Superintendent Marcello with this.",Player Default: What? How did you... When did you get so smart?,,DN020_ChelseaHolotape
Scene,SceneDialogue,Custom,,Player Default: What? How did you... When did you get so smart?,"You've been giving me ""brain pills"" every week. What did you expect, you pathetic little man?","Player Default: Well, so what if it's all true? No one's going to believe you! You're just a kid, and I'm the principal and, more importantly, an adult!",,DN020_ChelseaHolotape
Scene,SceneDialogue,Custom,,"Player Default: Well, so what if it's all true? No one's going to believe you! You're just a kid, and I'm the principal and, more importantly, an adult!","Oh, I think they'll believe me, Ronald. Especially after they hear you admit everything in your own words...","Player Default: What are you talking about...Wait, is that a holotape? You son of a...!",,DN020_ChelseaHolotape
Miscellaneous,Miscellaneous,Hello,,,"Uh...whatever you think I did, I didn't do it. Alice is a liar!",,Nervous. / Nervous,
Miscellaneous,Miscellaneous,Hello,,,Sometimes I hide my Dad's work notes just to mess with him. It drives him crazy.,,Devilish. / SinisterSmile,
Miscellaneous,Miscellaneous,Hello,,,What? I'm not even doing anything!,,Defensive / Conspiratorial,
Miscellaneous,Miscellaneous,Hello,,,"If you're looking for my Mom or Dad, they're probably still working.",,Upset. / Stern,
Miscellaneous,Miscellaneous,Hello,,,"Watch out around here. If they catch you having fun, they'll make you do boring science.",,"Cautionary, disgust / Disgust",
Miscellaneous,Miscellaneous,Hello,,,"Kids gotta earn their keep, too.",,Matter-of-fact,
Miscellaneous,Miscellaneous,Hello,,,Have you seen Diamond City? It's huge!,,Impressed,
Miscellaneous,Miscellaneous,Hello,,,Raiders don't scare me.,,Defiant,
Miscellaneous,Miscellaneous,Hello,,,"I saw a Deathclaw once. It was far away, but I saw it.",,Boasting,
Miscellaneous,Miscellaneous,Hello,,,Working on a farm is really boring.,,Disdain,
