CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"WhitechapelCharlie: Try Magnolia. She likes to make friends with people, she might know more about this missing bird.",Magnolia! This gal wants a word!,,,MS09Mission2WhitechapelCharlieScene
Scene,SceneDialogue,Custom,,"WhitechapelCharlie: Try Magnolia. She likes to make friends with people, she might know more about this missing bird.",Magnolia! This guy wants a word!,,,MS09Mission2WhitechapelCharlieScene
Scene,SceneDialogue,Custom,,,"Name rings a bell. Kind of barmy? Haven't seen her in a while, though.",,,MS09Mission2WhitechapelCharlieScene
Scene,SceneDialogue,Custom,,,"Try Magnolia. She likes to make friends with people, she might know more about this missing bird.",WhitechapelCharlie: Magnolia! This gal wants a word!,,MS09Mission2WhitechapelCharlieScene
Scene,SceneDialogue,Custom,,Player Default: Good man.,Kendra is not one to be trifled with. People associated with her have a habit of being found face down in a ditch.,,Disapproving,MS04_0500_3a_CharlieOnKendra
Scene,SceneDialogue,Custom,,,"If you're set on meeting her, for a fee it can be arranged.",Player Default: Here's your money. Where is she?,"Thinks this is a bad idea, but will help",MS04_0500_3a_CharlieOnKendra
Scene,SceneDialogue,Custom,,Player Default: You still going through with this? She's got a flat outside the 'Neighborhood.,"Look out for the blighters she's got with her. Nasty piece of business, that. Good luck.",,Warning,MS04_0500_3a_CharlieOnKendra
Scene,SceneDialogue,Custom,,Player Default: Here's your money. Where is she?,You still going through with this? She's got a flat outside the 'Neighborhood.,"WhitechapelCharlie: Look out for the blighters she's got with her. Nasty piece of business, that. Good luck.",Thinks its a bad idea,MS04_0500_3a_CharlieOnKendra
Scene,SceneDialogue,Custom,,Player Default: Here's your money. Where is she?,"You're short my fee, mate. Come back when you have the full amount.","WhitechapelCharlie: Look out for the blighters she's got with her. Nasty piece of business, that. Good luck.",Irritated,MS04_0500_3a_CharlieOnKendra
Scene,SceneDialogue,Custom,,Player Default: It is not wise to stand between the Silver Shroud and righteous justice.,"*chuckle* Justice? You mean to end her? In that case, her flat's just south of Goodneighbor. Water Street Apartments.","WhitechapelCharlie: Look out for the blighters she's got with her. Nasty piece of business, that. Good luck.","Considering, then decides",MS04_0500_3a_CharlieOnKendra
