CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Yes. As you probably guessed, my father is the source of the serum.","Jack! Are you sure it's wise, telling him all this?","Jack: In the course of my attempts to cure him, I discovered that the artifact had introduced... anomalies into his blood.",Nervous,MS09Mission3IntroQuestion1
Scene,SceneDialogue,Custom,,"Player Default: Yes. As you probably guessed, my father is the source of the serum.","Jack! Are you sure it's wise, telling her all this?","Jack: In the course of my attempts to cure him, I discovered that the artifact had introduced... anomalies into his blood.",Nervous,MS09Mission3IntroQuestion1
Miscellaneous,Miscellaneous,SharedInfo,,"Jack: Oh, yes. Good.",Thank god. At least one small comfort on this terrible day.,"Jack: You'll be wanting to be paid, of course... Edward usually handles these things...",Relieved,MS09Mission3IntroEmogeneReward
Scene,SceneDialogue,Custom,,"Jack: Oh, good.",At least there's one small comfort on this terrible day.,"Jack: You'll be wanting to be paid, of course... Edward usually handles these things...",Grateful,MS09Mission3IntroEmogeneReward
Scene,SceneDialogue,Custom,,"Jack: Now, we really need to focus on the current emergency.",How can you be so callous about your sister's safety?,Jack: I wonder if these could be the same raiders that stole that last shipment...,Disgust,MS09Mission3IntroEmogeneReward
Scene,SceneDialogue,Custom,,,"Jack, be careful. And... try not to hurt him.",Jack: I love father at least as much as you do.,,MS09Mission3IntroLeaveCabotHouse
Scene,SceneDialogue,Custom,,"Jack: But you know as well as I do that if he gets free, there will only be one option.",Don't let it come to that. Please.,"Jack: I'll do my best, mother. And if Emogene finally comes home, for god's sake don't let her leave again until I get back.",,MS09Mission3IntroLeaveCabotHouse
Scene,SceneDialogue,Custom,,Lorenzo: I like what you've done with the place.,"Lorenzo, thank god you've finally escaped. Jack just wouldn't listen.",Lorenzo: Be silent!,fake happy - you're actually terrified / Grateful,MS09Mission3EndingLorenzo01
Scene,SceneDialogue,Custom,,"Wilhelmina: Lorenzo, thank god you've finally escaped. Jack just wouldn't listen.",You know I would never...,"Lorenzo: You have all betrayed me. Kept me a prisoner and fed off me like vampires to prolong your pathetic, worthless lives.",Nervous,MS09Mission3EndingLorenzo01
Scene,SceneDialogue,Custom,,,,"Lorenzo: Ah, you're all here. Good.",gasp of alarm - your homicidally insane husband just walked into the room / Afraid,MS09Mission3EndingLorenzo01
Scene,SceneDialogue,Custom,,CabotHouseRadio:,"What's happening, Jack? If these people are inside Parsons, if they free him...",Jack: Don't worry. I'll handle it.,Afraid,MS09Mission3Intro
Scene,SceneDialogue,Custom,,Jack: Don't worry. I'll handle it.,I always knew it would end this way! I never should have allowed you to lock up Lorenzo in that place!,"Jack: That isn't helping, mother! And as I recall, using the serum was your idea, not mine.",getting hysterical / Afraid,MS09Mission3Intro
