CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,DLC04CrowdColaCars_TA: *Hesitant Cheering*,Amen.,"DLC04Gage: All right, all right. Now, get the hell out of here. I'll show the boss around.",Projected. Loudly agreeing with his sister. / Irritated,DLC04MQ01_800_GagePostFightAddress
Scene,SceneDialogue,Custom,,OperatorsLeader: And that we're going to get back to robbing folks of their fucking money.,Great. Another nut--,OperatorsLeader: William.,"You're cut off by your sister, trying to ensure you don't say something stupid to your new boss. / Neutral",DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,DLC04NPCFMagsBlack: Well. I suppose we all owe you for putting down Colter.,Man was an idiot. Made us all look bad.,"Player Default: Regret, I guess. I didn't want to kill him.",Stern,DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,"Player Default: Regret, I guess. I didn't want to kill him.",You'd be the only one...,OperatorsLeader: Agreed. Not going to make much of a splash around Nuka-World with an attitude like that...,Neutral,DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,"Player Default: Taking down an opponent like that, it's thrilling.",Sure looked it.,OperatorsLeader: Hmm. Perhaps you're better suited to this than I expected.,Neutral,DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,"Player Default: Bored. Kind of like this conversation, now that you mention it...",Hey. You don't get to talk to Mags that way.,"OperatorsLeader: It's all right, William.",Stern,DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,"Player Default: Well... you, Overboss. You're... an unknown quantity. And we're interested in knowing who we're dealing with.","So, we'd like if you answered the question.",OperatorsLeader: Yes. What went through you as you crushed the life out of that oaf?,"Curious about the person standing in front of you. Not too aggressive, as this is your boss. / Neutral",DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,"OperatorsLeader: This is my brother, William.",Pleasure.,"OperatorsLeader: Along with our co-conspirator Lizzie, we run this crew. Call ourselves the Operators.",Very flat. You're not actually pleased to meet your new boss. / Neutral,DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,Player Default: Happiness?,Nope.,OperatorsLeader: Caps. This place was built for the sole purpose of taking caps out of the pockets of fools.,Someone just gave an answer you find stupid to a question your sister posed. / Amused,DLC04MQ02OperatorsScene01
Scene,SceneDialogue,Custom,,Player Default: Soda?,Heh. Not quite.,OperatorsLeader: Caps. This place was built for the sole purpose of taking caps out of the pockets of fools.,Stern,DLC04MQ02OperatorsScene01
