CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'm sure you'll be fine.,"Thank you, Director.",Player Default: There's a place called Acadia...,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'm sure you'll be fine.,"Thank you. I'm eager to help, though admittedly I'm a bit lacking in field experience.",Player Default: There's a place called Acadia...,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Hate to burst your bubble pal, but I'm already disappointed.","Oh. Oh dear. Okay, well I'll try... harder? I'll work on it.",Player Default: There's a place called Acadia...,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Let's skip the small talk and get to work.,"Right, sorry. Of course.",Player Default: There's a place called Acadia...,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: What's your story, William?","Me? Oh... Uhh, I've been acting as sort of a liason between Advanced Systems and the SRB for a few years now.",,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,,"Doctors Li and Ayo didn't really get along, as I'm sure you can imagine. It worked better if someone could sort of bridge the gap.",,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,,"Anyway, I'm just here trying to do my part.",Player Default: There's a place called Acadia...,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,WilliamMoseley: I'm happy to help in whatever capacity I can.,I hope I don't disappoint.,Player Default: I'm sure you'll be fine.,,DLC03Acadia_Institute_MQ03Scene
Miscellaneous,Miscellaneous,SharedInfo,,"WilliamMoseley: Pleasure to meet you. William Moseley, Advanced Systems.",I'm happy to help in whatever capacity I can.,WilliamMoseley: I hope I don't disappoint.,,DLC03Acadia_Institute_MQ03Scene
Scene,SceneDialogue,Custom,,"DLC03MaleMoseley: Well, that about wraps things up, doesn't it?","They should be ready to receive this bunch back at the Institute. Looks like they can be salvaged, thankfully.","WilliamMoseley: Odds are most of them will be back at work before you know it, with no recollection of any of this nasty business.",,DLC03Acadia_Institute_MoseleyFinishScene
