CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,America... there's a word I don't hear very often.,Moe: ... I like my version better.,Curious,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",Someone should revive this sport.,Moe: ... I like my version better.,Interested,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.",Strange terminology. It sounds complicated.,Moe: ... I like my version better.,Perplexed,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.",He's deranged. No sense trying to reason with him.,DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,Dissuading the player,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: Oh, screw this. Say ""hi"" to Earl for me.",Finally.,,"Grim, about to attack",004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.","I doubt he'll listen. If he doesn't, I'm ready.","DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",A word of caution,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,Saw that coming.,Companion: Crocker got exactly what was comin' to him.,"Cold, matter of fact",004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,He made his choice when he threatened you.,,"With conviction. ""He deserved it""",004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,MemoryH_Courser: He's gone rogue. Name's Doctor Brian Virgil.,We know he's hiding somewhere in the Glowing Sea. Here's his file.,MemoryH_Kellogg: Wow. Some heads are going to roll for this.,,MQ203MemoryHMain
Scene,SceneDialogue,Custom,,MemoryH_Kellogg: Left as in...?,He's gone rogue. Name's Doctor Brian Virgil.,MemoryH_Courser: We know he's hiding somewhere in the Glowing Sea. Here's his file.,,MQ203MemoryHMain
