CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Room 2 is yours. Enjoy.,,,YefimGreetScene
Scene,SceneDialogue,Custom,,,Room's not free. Sorry.,,Irritated,YefimGreetScene
Scene,SceneDialogue,Custom,,,Come back when you have the money.,,player doesn't have enough money / Irritated,YefimGreetScene
Scene,SceneDialogue,Custom,,,Look. I can't let you stay for free.,,player doesn't have enough money / Irritated,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Have a good day.,,,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Well, it's vacant if you ever need it.",,,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Suit yourself.,,Irritated,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Fine, but no sleeping on the couch.",,,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let me think about it.,Whatever you say.,,,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let me think about it.,Heard that one before.,,,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let me think about it.,"Yeah, sure.",,,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let me think about it.,All right.,,,YefimGreetScene
Scene,SceneDialogue,Custom,,"Player Default: So, how's business?","Not much to say. We sell food, drink, and rooms. Mainly for traders that come through the area.",,,YefimGreetScene
Scene,SceneDialogue,Custom,,,"My brother, Vadim, runs the bar. Scarlett's our waitress, and she helps me keep the rooms clean. As much as they can be.","Yefim: Not much to say. We sell food, drink, and rooms. Mainly for traders that come through the area.",,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: What's the story with this place?,"Things are good! I think you have helped not only Travis, but Vadim as well. Fewer shady characters in here.",,,YefimGreetScene
Scene,SceneDialogue,Custom,,,"And no one complains about the radio anymore. But I must admit, awkward as he was, Travis had a certain charm about him before all this.","Yefim: Not much to say. We sell food, drink, and rooms. Mainly for traders that come through the area.",,YefimGreetScene
Scene,SceneDialogue,Custom,,Player Default: What's the word around town?,Nothing I'd want to talk about.,"Yefim: Not much to say. We sell food, drink, and rooms. Mainly for traders that come through the area.",,YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Have a nice stay.,,,
Miscellaneous,Miscellaneous,Greeting,,,Just don't throw up all over my floors.,,,
Miscellaneous,Miscellaneous,Greeting,,,Lost? You're in Room 2.,,,
Miscellaneous,Miscellaneous,Greeting,,,"Anyway, did you want a room?",,"generic ""coming from another conversation and getting back to business"" line",YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Hey, were you going to get a room, or not?",,"generic ""coming from another conversation and getting back to business"" line",YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Now, I should get back to work. Did you want a room?",,,YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Oh, a customer. Need a room?",,"serious, somber, quiet",YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"I'm glad you found Earl's killer, but now my brother won't shut up about you. *sigh* Anyway, did you need a room?",,"player discovered Doc Crocker killed Earl Sterling, your troublesome employee",YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Tell me if you need a room, otherwise the bar is over there.",,"serious, somber, quiet",YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Glad we haven't scared you off yet. Need a room?,,"serious, somber, quiet",YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,You look tired. Need a room?,,renting rooms in the motel,YefimGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Need a room?,,renting rooms in the hotel,YefimGreetScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,I... I'm waiting...,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Uh... were you going to say something?,,,
